mono_stamp,stereo_stamp,dt,mono_detection_id,stereo_cone_id,u,v,X_mono,Y_mono,X_stereo,Y_stereo,Z_stereo,stereo_color,stereo_confidence,error_x,error_y,error_2d,mono_range,stereo_range,error_range
1757267627.0885391,1757267627.0885391,0.0,3,3,353,429,1.3060998916625977,1.408082127571106,2.569317102432251,1.4428272247314453,-0.19591528177261353,0.0,0.9122603535652161,-1.2632172107696533,-0.034745097160339355,1.2636949566099187,1.920570801867565,2.9467169482794073,-1.0261461464118424
1757267627.0885391,1757267627.0885391,0.0,4,4,522,309,5.33482027053833,1.3498468399047852,5.966133117675781,1.4096297025680542,0.6900359988212585,0.0,0.909984290599823,-0.6313128471374512,-0.05978286266326904,0.6341371315646247,5.502944103854554,6.130399683233536,-0.6274555793789824
1757267627.0885391,1757267627.0885391,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.0829877853393555,-1.4345415830612183,0.7502468824386597,1.0,0.9067860841751099,-0.6050114631652832,0.004990935325622559,0.6050320487352893,5.661434415476438,6.249851994257111,-0.5884175787806729
1757267627.0885391,1757267627.0885391,0.0,6,1,876,394,1.7511073350906372,-1.3933608531951904,2.408421516418457,-1.3999377489089966,-0.13049347698688507,3.0,0.9392488598823547,-0.6573141813278198,0.006576895713806152,0.6573470837631307,2.2378184390662845,2.7857350738302036,-0.547916634763919
1757267627.121799,1757267627.121799,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.226067543029785,1.4380425214767456,-0.18683010339736938,3.0,0.9311702847480774,-0.5521037578582764,-0.0243837833404541,0.5526419531045617,2.19102391177614,2.6501590517751685,-0.45913513999902866
1757267627.121799,1757267627.121799,0.0,3,3,352,428,1.3219445943832397,1.4197946786880493,2.5677428245544434,1.4444071054458618,-0.19579525291919708,0.0,0.9121525287628174,-1.2457982301712036,-0.0246124267578125,1.246041332319523,1.939936710372266,2.946118649904196,-1.00618193953193
1757267627.121799,1757267627.121799,0.0,4,4,522,309,5.33482027053833,1.3498468399047852,5.966621398925781,1.4097450971603394,0.6900924444198608,0.0,0.9076827168464661,-0.6318011283874512,-0.0598982572555542,0.6346341206190454,5.502944103854554,6.130901414725788,-0.627957310871234
1757267627.121799,1757267627.121799,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.101840019226074,-1.433132529258728,0.7525720596313477,1.0,0.905285656452179,-0.623863697052002,0.0035818815231323242,0.623873979562089,5.661434415476438,6.267880061603634,-0.6064456461271961
1757267627.121799,1757267627.121799,0.0,6,1,876,394,1.7511073350906372,-1.3933608531951904,2.3935649394989014,-1.389005422592163,-0.12968851625919342,3.0,0.9393585324287415,-0.6424576044082642,-0.004355430603027344,0.6424723676842012,2.2378184390662845,2.767397547080797,-0.5295791080145125
1757267627.1717641,1757267627.1717641,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.22865891456604,1.4397165775299072,-0.18704760074615479,3.0,0.9322788715362549,-0.5546951293945312,-0.026057839393615723,0.5553068499198252,2.19102391177614,2.6532441239149307,-0.46222021213879083
